"都道府県","市区町村","latitude","longitude","合計特殊出生率","財政力指数","平均所得","経常収支比率","実質公債費比率","将来負担比率","ラスパイレス指数"
"北海道","札幌市",43.05546,141.340956,1.09,0.74,3186221,97.1,2.6,43,99.6
"北海道","函館市",41.768793,140.72881,1.18,0.48,2877370,93.5,6.4,46.1,97.5
"北海道","小樽市",43.190717,140.994662,1.12,0.46,2581316,96.9,6.8,34.5,96.4
"北海道","旭川市",43.770636,142.364819,1.29,0.54,2835203,94.9,8.2,85.8,98.8
"北海道","室蘭市",42.315231,140.973799,1.38,0.63,2959719,96.8,9.5,52.2,98.7
"北海道","釧路市",42.984854,144.381356,1.22,0.45,2808829,95.5,11,70.5,99.8
"北海道","帯広市",42.923899,143.196103,1.29,0.61,3032245,91,8.7,70.2,99.9
"北海道","北見市",43.804031,143.895876,1.31,0.45,2958116,95.9,8.9,158.9,96.9
"北海道","夕張市",43.056734,141.973896,1.2,0.21,2235172,124.9,70,336,89.6
"北海道","岩見沢市",43.196206,141.775933,1.16,0.38,2737046,97.8,8.4,70.7,99.3
"北海道","網走市",44.020632,144.273398,1.34,0.44,3048958,96.7,17.4,112.5,96.7
"北海道","留萌市",43.940987,141.637012,1.43,0.33,2803638,94.6,12.5,56.3,96
"北海道","苫小牧市",42.634302,141.605372,1.41,0.79,2935788,89.2,6.5,65.2,98.6
"北海道","稚内市",45.415664,141.673082,1.43,0.39,3269629,89.8,11.3,58.6,96.9
"北海道","美唄市",43.332881,141.853785,1.15,0.27,2688192,99.9,12.9,118.6,96.9
"北海道","芦別市",43.518166,142.189436,1.3,0.26,2414073,99.6,5.5,91.7,92.2
"北海道","江別市",43.103745,141.536247,1.15,0.56,2815397,92.6,6.3,16.8,98
"北海道","赤平市",43.558074,142.044211,1.18,0.2,2467176,93.2,11.6,106.6,95.9
"北海道","紋別市",44.356484,143.354503,1.28,0.32,3051518,85,10,"-",95
"北海道","士別市",44.178734,142.400404,1.35,0.26,2943407,98.1,13.5,136.6,97.9
"北海道","名寄市",44.355938,142.463167,1.44,0.27,2869886,92.6,9.7,19.3,99.6
"北海道","三笠市",43.245435,141.875327,1.4,0.2,2376266,97,8.7,29.1,98
"北海道","根室市",43.330076,145.58279,1.36,0.35,2897921,93.9,8.6,"-",98.4
"北海道","千歳市",42.820958,141.650876,1.37,0.78,2955334,90.6,8.2,16.6,97.5
"北海道","滝川市",43.557795,141.91019,1.35,0.41,2753742,92.9,9.4,68.2,97.2
"北海道","砂川市",43.494843,141.903465,1.29,0.32,2832636,83.9,4.5,73.9,99.2
"北海道","歌志内市",43.521353,142.034568,1.16,0.11,2265285,91.4,11.2,"-",94
"北海道","深川市",43.72326,142.053538,1.31,0.27,2737313,84.6,14.6,122.3,98.3
"北海道","富良野市",43.34214,142.383225,1.46,0.37,2807774,92,7,33.1,99.6
"北海道","登別市",42.41276,141.106632,1.38,0.47,2681445,99.8,12.4,81.8,95.3
"北海道","恵庭市",42.882562,141.577815,1.27,0.61,2822252,92.6,4.9,12.2,98.6
"北海道","伊達市",42.471851,140.864679,1.34,0.39,2728431,87.4,4.8,"-",98.2
"北海道","北広島市",42.98563,141.563543,1.14,0.65,2857942,95.4,6,89,98.8
"北海道","石狩市",43.171384,141.31552,1.34,0.53,2677150,94.1,7.4,63,98.3
"北海道","北斗市",41.82406,140.652903,1.29,0.48,2614067,89.8,4.4,"-",98.1
"北海道","当別町",43.223683,141.517072,0.97,0.38,2749242,94.8,10.1,47,96.8
"北海道","新篠津村",43.225424,141.649216,1.33,0.21,2962241,85.1,2,11.6,97.2
"北海道","松前町",41.430037,140.110435,1.22,0.19,3067512,83.5,7.9,29.9,97.3
"北海道","福島町",41.483802,140.251326,1.28,0.23,3072848,84.7,11.1,24.8,96.4
"北海道","知内町",41.598356,140.418963,1.25,0.28,2575009,78.6,12.3,"-",97.4
"北海道","木古内町",41.678264,140.437568,1.25,0.21,2507615,94.1,11.3,71,99.1
"北海道","七飯町",41.89572,140.69428,1.35,0.48,2581045,90.8,11.2,65.4,98
"北海道","鹿部町",42.038487,140.815939,1.39,0.26,2407966,91.3,2.2,"-",96.8
"北海道","森町",42.104795,140.576324,1.34,0.31,2499764,93.4,13.8,29.6,99.5
"北海道","八雲町",42.255999,140.265281,1.52,0.29,2830643,91.6,11.4,16.8,96.3
"北海道","長万部町",42.513688,140.380633,1.43,0.24,2675803,86.2,11.9,45,97.8
"北海道","江差町",41.869156,140.12746,1.11,0.28,2879558,91.5,15.6,58.8,96.5
"北海道","上ノ国町",41.801082,140.121348,1.25,0.17,2791919,86.9,6.6,"-",98
"北海道","厚沢部町",41.920901,140.225472,1.31,0.17,2847607,79.4,5.8,"-",93.6
"北海道","乙部町",41.968501,140.135719,1.3,0.15,2698192,69.6,4.3,"-",95.6
"北海道","奥尻町",42.172278,139.514008,1.31,0.13,3046135,84.3,10.3,22.3,89.8
"北海道","今金町",42.429422,140.008878,1.28,0.2,2803567,78.6,6.1,"-",96.5
"北海道","せたな町",42.417161,139.882988,1.28,0.15,2618334,87.7,8.8,"-",96.4
"北海道","島牧村",42.70052,140.06146,1.33,0.09,2934000,89.4,6.3,28.5,99.6
"北海道","寿都町",42.790979,140.22898,1.32,0.14,2907182,85.6,12.5,27.5,98.3
"北海道","黒松内町",42.667864,140.30754,1.13,0.15,2816233,84.2,11.6,47.9,95.3
"北海道","蘭越町",42.809075,140.528312,1.36,0.19,2865253,85.9,11.8,"-",94.6
"北海道","ニセコ町",42.804705,140.687493,1.34,0.33,3050549,89.3,10,62.5,95
"北海道","真狩村",42.762971,140.803744,1.52,0.17,2787309,92.9,11.4,94.8,96.4
"北海道","留寿都村",42.73736,140.875591,1.19,0.26,3088596,89.7,9.4,68.7,99.2
"北海道","喜茂別町",42.795472,140.9345,1.26,0.19,2553477,85.7,9.8,79.1,98.4
"北海道","京極町",42.858208,140.884088,1.3,0.79,2886068,79.1,7.2,"-",96.6
"北海道","倶知安町",42.901829,140.758698,1.49,0.61,3313972,85.7,7.1,95.9,96.1
"北海道","共和町",42.980398,140.611187,1.7,0.26,3030059,89.2,9,"-",97.4
"北海道","岩内町",42.979785,140.514753,1.38,0.32,2749604,88.4,15.5,138.3,96.5
"北海道","泊村",43.063355,140.498859,1.32,1.58,3014489,39.4,1.2,"-",97.9
