"都道府県名","市町村名","平均所得"
"東京都","港区",11631584
"東京都","千代田区",10056536
"東京都","渋谷区",8855483
"東京都","中央区",6843638
"兵庫県","芦屋市",652842
"東京都","目黒区",6361652
"東京都","文京区",6211041
"東京都","世田谷区",5653167
"東京都","新宿区",5555123
"福島県","川内村",5533609
"東京都","武蔵野市",5404433
"北海道","猿払村",5311491
"東京都","品川区",5052426
"山梨県","忍野村",4935692
"神奈川県","鎌倉市",4706410
"東京都","杉並区",4695873
"東京都","豊島区",4604990
"千葉県","浦安市",4578541
"東京都","国立市",453906
"東京都","三鷹市",4507931
"神奈川県","葉山町",4502377
"東京都","江東区",4479761
"愛知県","長久手市",4435658
"東京都","台東区",4417608
"東京都","国分寺市",4408417
"神奈川県","逗子市",4364009
"兵庫県","西宮市",4351786
"東京都","大田区",4327346
"愛知県","みよし市",4283730
"大阪府","箕面市",4282304
"東京都","小金井市",4276365
"大阪府","豊中市",425342
"愛知県","日進市",4235336
"東京都","中野区",4216755
"東京都","調布市",4214877
"大阪府","吹田市",4195443
"東京都","練馬区",4189125
"北海道","安平町",4187387
"長野県","軽井沢町",4179720
"兵庫県","宝塚市",4147926
"神奈川県","横浜市",4093623
"奈良県","生駒市",409963
"神奈川県","川崎市",4078392
"愛知県","名古屋市",4062661
"茨城県","つくば市",4061104
"東京都","稲城市",4054016
"神奈川県","藤沢市",4048919
"東京都","小笠原村",4035540
"千葉県","流山市",4014687
"千葉県","千葉市",4007177
"愛知県","大府市",3995505
"愛知県","刈谷市",3994354
"神奈川県","大磯町",3981201
"北海道","更別村",3974385
"埼玉県","さいたま市",3956730
"広島県","東広島市",395217
"北海道","士幌町",3946215
"東京都","墨田区",3935175
"東京都","小平市",3934455
"東京都","狛江市",3918530
"茨城県","守谷市",3897998
"千葉県","市川市",3894886
"東京都","府中市",3894617
"東京都","町田市",3885617
"福島県","大熊町",388594
"愛知県","安城市",3871192
"大阪府","池田市",387853
"静岡県","長泉町",3867409
"千葉県","習志野市",3863418
"東京都","青ヶ島村",3858419
"東京都","西東京市",3856104
"京都府","精華町",3846122
"埼玉県","和光市",3825052
"三重県","朝日町",3815899
"北海道","佐呂間町",3811548
"北海道","枝幸町",381360
"北海道","興部町",3803243
"神奈川県","茅ヶ崎市",3796984
"東京都","荒川区",379837
"奈良県","広陵町",3784516
"千葉県","印西市",3784413
"愛知県","豊田市",3782610
"東京都","立川市",3781215
"東京都","北区",3776410
"埼玉県","朝霞市",3756665
"愛知県","東郷町",3753053
"北海道","浜頓別町",3747791
"愛知県","知立市",3727254
"埼玉県","志木市",3725666
"京都府","京田辺市",3716178
"栃木県","下野市",3715747
"東京都","多摩市",3713712
"東京都","日野市",3713186
"愛知県","岡崎市",3709716
"東京都","江戸川区",3709535
"奈良県","奈良市",3706377
"埼玉県","戸田市",3701641
"千葉県","柏市",3688160
"大阪府","茨木市",3687529
"東京都","板橋区",3685288
"奈良県","香芝市",3681169
"兵庫県","神戸市",3673814
"愛知県","大口町",3671312
"千葉県","船橋市",366414
"神奈川県","海老名市",3655423
"北海道","斜里町",3652360
"秋田県","大潟村",365156
"京都府","長岡京市",3642474
"京都府","京都市",3634564
"滋賀県","草津市",3632052
"愛知県","西尾市",3624960
"北海道","別海町",3616124
"愛知県","尾張旭市",3612898
"東京都","東久留米市",3609528
"大阪府","大阪狭山市",3592909
"滋賀県","栗東市",3592197
"北海道","豊頃町",3591993
"愛知県","東浦町",3591300
"北海道","鹿追町",35935
"三重県","桑名市",3584850
"神奈川県","開成町",3583726
"兵庫県","三田市",3582362
"埼玉県","三芳町",3577369
"福岡県","新宮町",3575741
"山梨県","昭和町",3569711
"愛知県","豊明市",3567080
"滋賀県","大津市",3564908
"愛知県","東海市",3563281
"福岡県","福岡市",35672
"東京都","八王子市",3559825
"千葉県","白井市",3553666
"京都府","向日市",3552719
"兵庫県","伊丹市",3551484
"滋賀県","守山市",3548519
"奈良県","王寺町",3543180
"愛知県","飛島村",3542448
"千葉県","八千代市",3537508
